policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_1h,36,NOT,2026-03-30 10:00:00,2026-03-30 11:00:00,REJECTED_HTF,AVOID,0.0,31,0.00031062,0.00031288,0.007275771038568097,0.002,0.005275771038568097,1.005275771038568,0.0
rejected_htf_1h,18,CC,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.196608,21,0.13222,0.13325,0.007790046891544419,0.002,0.005790046891544419,1.0110963648918148,0.0
rejected_htf_1h,17,AAVE,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.161125,22,85.73,86.14,0.004782456549632527,0.002,0.002782456549632527,1.0139096965946177,0.0
rejected_htf_1h,8,HOT,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.151015,23,0.00035431,0.00035743,0.008805847986226781,0.002,0.006805847986226781,1.020810211861402,0.0
rejected_htf_1h,29,DOT,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.146687,24,1.1142,1.1106,-0.003231017770597781,0.002,-0.005231017770597781,1.0154703355027472,-0.005231017770597868
rejected_htf_1h,24,ONDO,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.080751,25,0.23336,0.23294,-0.001799794309221819,0.002,-0.0037997943092218187,1.0116117571007204,-0.009010935288263466
rejected_htf_1h,31,HNT,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.067594,26,0.98444,0.98494,0.0005079029702166267,0.002,-0.0014920970297833732,1.0101023342026565,-0.010489587128267641
rejected_htf_1h,12,QNT,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.008959,27,60.885,60.497,-0.006372669787303903,0.002,-0.008372669787303902,1.0016450809069928,-0.018774431066341357
rejected_htf_1h,25,RLC,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.0,28,0.34883,0.35027,0.004128085313763302,0.002,0.002128085313763302,1.0037766670932742,-0.01668629934360466
rejected_htf_1h,35,MOG,2026-03-30 11:00:00,2026-03-30 12:00:00,REJECTED_HTF,AVOID,0.0,30,1.274e-07,1.263e-07,-0.008634222919937025,0.002,-0.010634222919937025,0.9931022822535729,-0.027143076436612956
rejected_htf_1h,5,DEEP,2026-03-30 19:00:00,2026-03-30 20:00:00,REJECTED_HTF,AVOID,0.0,17,0.0225,0.022542,0.0018666666666666831,0.002,-0.00013333333333331691,0.992969868615939,-0.027272790693088078
rejected_htf_1h,25,RLC,2026-03-30 20:00:00,2026-03-30 21:00:00,REJECTED_HTF,AVOID,0.0,28,0.3425,0.34245,-0.00014598540146000001,0.002,-0.0021459854014600002,0.9908389697737996,-0.0293602490838637
rejected_htf_1h,22,LDO,2026-03-30 21:00:00,2026-03-30 22:00:00,REJECTED_HTF,AVOID,0.108842,4,0.28044,0.2787,-0.00620453572956789,0.002,-0.008204535729567891,0.9827095960440422,-0.03732389760079402
rejected_htf_1h,6,FIL,2026-03-30 21:00:00,2026-03-30 22:00:00,REJECTED_HTF,AVOID,0.0,18,0.71651,0.71655,5.5826157346080315e-05,0.002,-0.0019441738426539197,0.9807990377524883,-0.039195507298026566
