policy_name,hold_hours,asset_id,symbol,ts_utc,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,actual_direction,equity_curve,drawdown
rejected_htf_4h,4,36,NOT,2026-03-30 10:00:00,2026-03-30 10:00:00,2026-03-30 14:00:00,REJECTED_HTF,AVOID,0.0,31,0.00031062,0.00031046,-0.0005150988345889691,0.002,-0.002515098834588969,DOWN,0.997484901165411,0.0
rejected_htf_4h,4,18,CC,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.196608,21,0.13222,0.13398,0.01331114808652234,0.002,0.01131114808652234,UP,1.0087676005965631,0.0
rejected_htf_4h,4,17,AAVE,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.161125,22,85.73,86.34,0.007115362183599667,0.002,0.005115362183599667,UP,1.0139278122326953,0.0
rejected_htf_4h,4,8,HOT,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.151015,23,0.00035431,0.00035597,0.004685162710620665,0.002,0.0026851627106206652,UP,1.0166503733853638,0.0
rejected_htf_4h,4,29,DOT,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.146687,24,1.1142,1.1027,-0.010321306767187278,0.002,-0.012321306767187278,DOWN,1.0041239122599073,-0.012321306767187234
rejected_htf_4h,4,24,ONDO,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.080751,25,0.23336,0.23564,0.00977031196434683,0.002,0.00777031196434683,UP,1.011926268309027,-0.004646735200229957
rejected_htf_4h,4,31,HNT,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.067594,26,0.98444,1.00091,0.016730323838933796,0.002,0.014730323838933796,UP,1.026832269942343,0.0
rejected_htf_4h,4,12,QNT,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.008959,27,60.885,61.61,0.011907694834524127,0.002,0.009907694834524127,UP,1.0370058107191733,0.0
rejected_htf_4h,4,25,RLC,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.0,28,0.34883,0.35058,0.005016770346587247,0.002,0.003016770346587247,UP,1.0401342190981897,0.0
rejected_htf_4h,4,35,MOG,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,REJECTED_HTF,AVOID,0.0,30,1.274e-07,1.266e-07,-0.006279434850863271,0.002,-0.008279434850863271,DOWN,1.0315224955950126,-0.008279434850863354
rejected_htf_4h,4,25,RLC,2026-03-30 20:00:00,2026-03-30 20:00:00,2026-03-31 00:00:00,REJECTED_HTF,AVOID,0.0,28,0.3425,0.34145,-0.0030656934306570825,0.002,-0.0050656934306570825,DOWN,1.026297118865502,-0.013303187202786892
rejected_htf_4h,4,22,LDO,2026-03-30 21:00:00,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.108842,4,0.28044,0.27889,-0.005527028954500056,0.002,-0.007527028954500056,DOWN,1.0185721507358814,-0.020730082682024364
rejected_htf_4h,4,6,FIL,2026-03-30 21:00:00,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.0,18,0.71651,0.72514,0.01204449344740482,0.002,0.01004449344740482,UP,1.028803192029657,-0.010893812414283333
rejected_htf_4h,4,15,WAL,2026-03-30 21:00:00,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.0,24,0.060801,0.061104,0.004983470666600841,0.002,0.0029834706666008407,UP,1.0318725961747828,-0.007942843117467957
rejected_htf_4h,4,31,HNT,2026-03-30 21:00:00,2026-03-30 21:00:00,2026-03-31 01:00:00,REJECTED_HTF,AVOID,0.0,33,0.9372,0.93386,-0.0035638070849338555,0.002,-0.0055638070849338556,DOWN,1.0261314561134365,-0.013462457755590296
rejected_htf_4h,4,14,VET,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.103665,8,0.005857,0.0058863,0.0050025610380740075,0.002,0.0030025610380740074,UP,1.0292124784435048,-0.010500318568649858
rejected_htf_4h,4,26,WLD,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.080592,9,0.23889,0.2424,0.014692954916488817,0.002,0.012692954916488816,UP,1.042276226031876,0.0
rejected_htf_4h,4,20,FLOKI,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.027772,10,2.4115e-05,2.4344e-05,0.009496164213145374,0.002,0.007496164213145374,UP,1.0500892997776685,0.0
rejected_htf_4h,4,7,HBAR,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.017647,11,0.076486,0.07636,-0.0016473603012316124,0.002,-0.0036473603012316122,DOWN,1.0462592457529114,-0.0036473603012315836
rejected_htf_4h,4,13,SUI,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.008959,12,0.7557,0.76637,0.014119359534206639,0.002,0.012119359534206639,UP,1.0589392377181788,0.0
rejected_htf_4h,4,1,BTC,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,13,58229.0,59209.0,0.0168301018392897,0.002,0.0148301018392897,UP,1.0746434144551593,0.0
rejected_htf_4h,4,2,ETH,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,14,1773.21,1804.95,0.017899741147410633,0.002,0.015899741147410634,UP,1.0917299665707658,0.0
rejected_htf_4h,4,3,SOL,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,15,72.239,73.066,0.011448109746812637,0.002,0.009448109746812637,UP,1.1020447511088105,0.0
rejected_htf_4h,4,4,ADA,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,16,0.21314,0.21627,0.014685183447499268,0.002,0.012685183447499268,UP,1.1160243909439793,0.0
rejected_htf_4h,4,9,NEAR,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,20,1.0168,1.0295,0.012490165224233041,0.002,0.010490165224233041,UP,1.1277316711992558,0.0
rejected_htf_4h,4,10,PEPE,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,21,2.9089e-06,2.9364e-06,0.009453745402042064,0.002,0.007453745402042064,UP,1.1361374959581945,0.0
rejected_htf_4h,4,11,POL,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,22,0.080077,0.08098,0.011276646228005558,0.002,0.009276646228005558,UP,1.1466770415745708,0.0
rejected_htf_4h,4,12,QNT,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,23,60.917,62.486,0.02575635701035828,0.002,0.023756357010358282,UP,1.1739179107497977,0.0
rejected_htf_4h,4,16,XLM,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,25,0.14732,0.14808,0.005158837903882588,0.002,0.003158837903882588,UP,1.1776261271423207,0.0
rejected_htf_4h,4,17,AAVE,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,26,84.55,85.99,0.01703134240094616,0.002,0.01503134240094616,UP,1.195327428679697,0.0
rejected_htf_4h,4,24,ONDO,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,27,0.23043,0.23173,0.0056416265243240706,0.002,0.0036416265243240705,UP,1.1996803647492291,0.0
rejected_htf_4h,4,27,XRP,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,29,1.15872,1.16458,0.005057304611985619,0.002,0.0030573046119856187,UP,1.2033481530612857,0.0
