policy_name,hold_hours,asset_id,symbol,ts_utc,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,actual_direction,equity_curve,drawdown
watch_4h,4,23,LTC,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,PRE_ALIGNMENT,WATCH,0.454422,5,46.774,47.14,0.007824859964937779,0.002,0.005824859964937779,UP,1.0058248599649378,0.0
watch_4h,4,7,HBAR,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,PRE_ALIGNMENT,WATCH,0.453009,6,0.07822,0.077827,-0.005024290462797296,0.002,-0.007024290462797296,DOWN,0.9987596539938416,-0.007024290462797289
watch_4h,4,11,POL,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,EARLY_WATCH,WATCH,0.526888,7,0.082116,0.080766,-0.016440157825515004,0.002,-0.018440157825515002,DOWN,0.9803423683444384,-0.025334919263566014
watch_4h,4,2,ETH,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,EARLY_WATCH,WATCH,0.494025,8,1803.05,1810.44,0.004098610687446327,0.002,0.002098610687446327,UP,0.9823997253160025,-0.02328947670845183
watch_4h,4,19,CRV,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,EARLY_WATCH,WATCH,0.494025,9,0.19161,0.18972,-0.009863785814936604,0.002,-0.011863785814936604,DOWN,0.9707447453902008,-0.034876961159977515
watch_4h,4,9,NEAR,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,EARLY_WATCH,WATCH,0.367412,10,1.0448,1.0321,-0.01215543644716686,0.002,-0.01415543644716686,DOWN,0.9570034298404086,-0.048538698999973984
watch_4h,4,21,HYPE,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,EARLY_WATCH,WATCH,0.21835,11,33.147,33.422,0.008296376746010154,0.002,0.006296376746010154,UP,0.9630290839819079,-0.04254794018962871
watch_4h,4,22,LDO,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,TRIGGER_NO_HTF_CONFIRM,WATCH,0.718362,12,0.28084,0.27989,-0.0033827090158095392,0.002,-0.005382709015809539,DOWN,0.9578453786490717,-0.04770162602417538
watch_4h,4,10,PEPE,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,TRIGGER_NO_HTF_CONFIRM,WATCH,0.51739,13,2.9313e-06,2.9385e-06,0.0024562480810560823,0.002,0.00045624808105608223,UP,0.9582823937650289,-0.04726714171845603
watch_4h,4,20,FLOKI,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,TRIGGER_NO_HTF_CONFIRM,WATCH,0.44832,14,2.4687e-05,2.4497e-05,-0.007696358407258876,0.002,-0.009696358407258876,DOWN,0.9489905442197172,-0.05650518097872603
watch_4h,4,16,XLM,2026-03-30 11:00:00,2026-03-30 11:00:00,2026-03-30 15:00:00,MIXED_NEUTRAL,WATCH,0.57371,15,0.14963,0.14907,-0.0037425649936510385,0.002,-0.0057425649936510385,DOWN,0.9435409043411752,-0.06192326129812864
watch_4h,4,19,CRV,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,PRE_ALIGNMENT,WATCH,0.467275,1,0.18849,0.1911,0.013846888429094388,0.002,0.011846888429094388,UP,0.9547189281631918,-0.05080997083679906
watch_4h,4,14,VET,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,PRE_ALIGNMENT,WATCH,0.453009,3,0.0058457,0.0058488,0.0005303043262570217,0.002,-0.0014696956737429783,DOWN,0.9533157818848298,-0.05220499131622014
watch_4h,4,30,FET,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,EARLY_WATCH,WATCH,0.329834,6,0.2015,0.19952,-0.009826302729528582,0.002,-0.011826302729528582,DOWN,0.9420415808514225,-0.06341390201445074
watch_4h,4,28,ALGO,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,HTF_READY_LTF_LAG,WATCH,0.6414,7,0.079527,0.084609,0.06390282545550571,0.002,0.06190282545550571,UP,1.0003566164026967,-0.0054365762667982764
watch_4h,4,24,ONDO,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,MIXED_NEUTRAL,WATCH,0.568686,8,0.23963,0.23594,-0.015398739723740762,0.002,-0.01739873972374076,DOWN,0.9829516720029842,-0.022740726415084733
watch_4h,4,23,LTC,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,MIXED_NEUTRAL,WATCH,0.041051,9,46.619,46.624,0.00010725240781661035,0.002,-0.0018927475921833897,DOWN,0.9810911925925679,-0.02459043155210139
