TOKEN CLASS IS_CLUSTER_LEADER IS_CLUSTER_WEAK CLUSTER_GROUP CLUSTER_STRENGTH DIVERGENCE_FLAG DIVERGENCE_TYPE LEADER_INFLUENCE

BTC Leader yes no leader high 0 none high
ETH Leader yes no leader high 0 none high
SOL Drift no yes drift low 1 instability low
ADA Weak no yes weak low 1 state_flip low
DEEP Anchor no no anchor moderate 0 none moderate
FIL Mid no no mid moderate 0 none moderate
HBAR Mid no no mid moderate 0 none moderate
HOT Drift no yes drift low 1 instability low
NEAR Anchor no no anchor moderate 0 none moderate
PEPE Drift no yes drift low 1 instability low
POL Mid no no mid moderate 0 none moderate
QNT Leader yes no leader high 0 none high
SUI Weak no yes weak low 1 against_cluster low
VET Weak no yes weak low 1 state_flip low
WAL Mid no no mid moderate 0 none moderate
XLM Anchor no no anchor moderate 0 none moderate
AAVE Leader yes no leader high 0 none high
CC Weak no yes weak low 1 instability low
CRV Mid no no mid moderate 0 none moderate
FLOKI Drift no yes drift low 1 against_cluster low
HYPE Drift no yes drift low 1 instability low
LDO Mid no no mid moderate 0 none moderate
LTC Anchor no no anchor moderate 0 none moderate
ONDO Weak no yes weak low 1 state_flip low
RLC Weak no yes weak low 1 instability low
WLD Mid no no mid moderate 0 none moderate
XRP Leader yes no leader high 0 none high
ALGO Drift no yes drift low 1 instability low
DOT Mid no no mid moderate 0 none moderate
FET Mid no no mid moderate 0 none moderate
HNT Weak no yes weak low 1 instability low
ICP Drift no yes drift low 1 state_flip low
INJ Leader yes no leader high 0 none high
IOST Weak no yes weak low 1 instability low
MOG Drift no yes drift low 1 against_cluster low
NOT Drift no yes drift low 1 instability low
RED Mid no no mid moderate 0 none moderate
RENDER Anchor no no anchor moderate 0 none moderate
XPL Weak no yes weak low 1 instability low
TAO Leader yes no leader high 0 none high
