symbol,raw_lattice_anchor_ts_utc,sensitivity_mode,selection_status,selected_template_time_shift_days,previous_unique_template_time_shift_days,current_unique_template_time_shift_days,raw_shift_delta_days,raw_anchor_spacing_days,effective_cycle_spacing_days,continuity_alert_delta_days,exceeds_continuity_alert_threshold,tied_shift_days
BTC,2024-10-13T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,7.0,,7.0,,,,3.0,,7.0
BTC,2024-11-03T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-7.0,7.0,-7.0,-14.0,21.0,7.0,3.0,True,-7.0
BTC,2024-11-24T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-7.0,,,21.0,,3.0,,"-7.0,-6.0,-4.0,1.0,2.0"
BTC,2024-12-15T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-3.0,-7.0,-3.0,4.0,42.0,46.0,3.0,True,-3.0
BTC,2025-01-05T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-3.0,,,21.0,,3.0,,"-5.0,-3.0"
BTC,2025-01-26T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,7.0,-3.0,7.0,10.0,42.0,52.0,3.0,True,7.0
BTC,2025-02-16T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,5.0,7.0,5.0,-2.0,21.0,19.0,3.0,False,5.0
BTC,2025-03-09T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,21.0,,3.0,,"-8.0,-6.0"
BTC,2025-03-30T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,42.0,,3.0,,"1.0,3.0,6.0,7.0,8.0,9.0"
BTC,2025-04-20T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,63.0,,3.0,,"-8.0,-7.0,-1.0,1.0,2.0,8.0,9.0"
BTC,2025-05-11T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,84.0,,3.0,,"-7.0,-3.0,-2.0"
BTC,2025-06-01T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,105.0,,3.0,,"-9.0,4.0"
BTC,2025-06-22T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,126.0,,3.0,,"-9.0,-8.0,-6.0,0.0,1.0,2.0,4.0"
BTC,2025-07-13T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,-5.0,5.0,-5.0,-10.0,147.0,137.0,3.0,True,-5.0
BTC,2025-08-03T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-5.0,,,21.0,,3.0,,"-10.0,-9.0"
BTC,2025-08-24T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,-5.0,,,42.0,,3.0,,"-3.0,0.0,1.0,5.0"
BTC,2025-09-14T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,3.0,-5.0,3.0,8.0,63.0,71.0,3.0,True,3.0
BTC,2025-10-05T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,5.0,3.0,5.0,2.0,21.0,23.0,3.0,False,5.0
BTC,2025-10-26T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,21.0,,3.0,,"-5.0,-3.0"
BTC,2025-11-16T00:00:00Z,MAX,UNIQUE_TOP_CANDIDATE,5.0,5.0,5.0,0.0,42.0,42.0,3.0,False,5.0
BTC,2025-12-07T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,21.0,,3.0,,"8.0,9.0"
BTC,2025-12-28T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,42.0,,3.0,,"-10.0,-5.0,-3.0"
BTC,2026-01-18T00:00:00Z,MAX,TIED_TOP_CANDIDATES,,5.0,,,63.0,,3.0,,"-6.0,7.0"
