symbol,raw_lattice_anchor_ts_utc,interval_code,sensitivity_mode,selection_status,selected_template_time_shift_days,effective_schedule_origin_ts_utc,extension_sequence_index,marker_set,marker_ratio,marker_code,marker_kind,expected_ts_utc,observed_candle_open_ts_utc,observed_price,marker_residual_hours,matched
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-15T17:05:16Z,2024-11-15T00:00:00Z,87042.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-22T23:28:19Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-13T23:28:19Z,2024-12-13T00:00:00Z,97060.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-15T17:05:16Z,2024-11-15T00:00:00Z,87042.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-22T23:28:19Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-13T23:28:19Z,2024-12-13T00:00:00Z,97060.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-15T17:05:16Z,2024-11-15T00:00:00Z,87042.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-22T23:28:19Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-10-13T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2024-10-20T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-13T23:28:19Z,2024-12-13T00:00:00Z,97060.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-22T17:05:16Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-29T23:28:19Z,2024-11-29T00:00:00Z,93498.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-20T23:28:19Z,2024-12-20T00:00:00Z,94574.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-22T17:05:16Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-29T23:28:19Z,2024-11-29T00:00:00Z,93498.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-20T23:28:19Z,2024-12-20T00:00:00Z,94574.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2024-11-22T17:05:16Z,2024-11-22T00:00:00Z,95400.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2024-11-29T23:28:19Z,2024-11-29T00:00:00Z,93498.0,0.0,True
BTC,2024-11-03T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-7.0,2024-10-27T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2024-12-20T23:28:19Z,2024-12-20T00:00:00Z,94574.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-01-07T17:05:16Z,2025-01-07T00:00:00Z,99000.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-01-14T23:28:19Z,2025-01-14T00:00:00Z,94987.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-02-04T23:28:19Z,2025-02-04T00:00:00Z,98822.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-01-07T17:05:16Z,2025-01-07T00:00:00Z,99000.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-01-14T23:28:19Z,2025-01-14T00:00:00Z,94987.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-02-04T23:28:19Z,2025-02-04T00:00:00Z,98822.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-01-07T17:05:16Z,2025-01-07T00:00:00Z,99000.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-01-14T23:28:19Z,2025-01-14T00:00:00Z,94987.0,0.0,True
BTC,2024-12-15T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,-3.0,2024-12-12T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-02-04T23:28:19Z,2025-02-04T00:00:00Z,98822.0,0.0,True
BTC,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2025-02-02T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-02-28T17:05:16Z,2025-02-28T00:00:00Z,82345.0,0.0,True
BTC,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2025-02-02T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-03-07T23:28:19Z,2025-03-07T00:00:00Z,84632.0,0.0,True
BTC,2025-01-26T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,7.0,2025-02-02T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-03-28T23:28:19Z,2025-03-28T00:00:00Z,81043.0,0.0,True
BTC,2025-02-16T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,5.0,2025-02-21T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-03-19T17:05:16Z,2025-03-19T00:00:00Z,79787.0,0.0,True
BTC,2025-02-16T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,5.0,2025-02-21T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-03-26T23:28:19Z,2025-03-26T00:00:00Z,81877.0,0.0,True
BTC,2025-02-16T00:00:00Z,1d,MAX,UNIQUE_TOP_CANDIDATE,5.0,2025-02-21T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-04-16T23:28:19Z,2025-04-16T00:00:00Z,75200.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-08-03T17:05:16Z,2025-08-03T00:00:00Z,99305.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-08-10T23:28:19Z,2025-08-10T00:00:00Z,102250.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-08-31T23:28:19Z,2025-08-31T00:00:00Z,93756.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,1,EXTENSION,1.272,EXTENSION_1.272,HIGH,2025-08-03T17:05:16Z,2025-08-03T00:00:00Z,99305.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,2,EXTENSION,1.618,EXTENSION_1.618,HIGH,2025-08-10T23:28:19Z,2025-08-10T00:00:00Z,102250.0,0.0,True
BTC,2025-07-13T00:00:00Z,1d,NORMAL,UNIQUE_TOP_CANDIDATE,-5.0,2025-07-08T00:00:00Z,3,EXTENSION,2.618,EXTENSION_2.618,HIGH,2025-08-31T23:28:19Z,2025-08-31T00:00:00Z,93756.0,0.0,True
