symbol,raw_lattice_anchor_ts_utc,interval_code,sensitivity_mode,selection_status,selected_template_time_shift_days,template_time_shift_days,effective_schedule_origin_ts_utc,marker_sequence_index,marker_set,marker_ratio,marker_code,marker_kind,expected_ts_utc,observed_candle_open_ts_utc,observed_price,marker_residual_hours,matched,first_lift_above_origin_reference,first_dip_below_first_lift,second_peak_above_first_dip,second_dip_below_second_peak,second_dip_higher_than_first_dip,ignition_above_second_dip,pulse_above_ignition,pulse_above_second_peak,second_peak_retests_first_lift_within_2p5pct
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,1,BASE,0.236,FIRST_LIFT_HIGH,HIGH,2024-10-24T22:56:38Z,2024-10-24T00:00:00Z,63536.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,2,BASE,0.382,FIRST_DIP_LOW,LOW,2024-10-28T00:31:40Z,2024-10-28T00:00:00Z,62631.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,3,BASE,0.5,SECOND_PEAK_RETEST_HIGH,HIGH,2024-10-30T12:00:00Z,2024-10-30T00:00:00Z,67200.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,4,BASE,0.618,SECOND_DIP_HIGHER_LOW,LOW,2024-11-01T23:28:19Z,2024-11-01T00:00:00Z,63250.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,5,BASE,0.786,IGNITION_PRE_SPIKE,HIGH,2024-11-05T12:08:38Z,2024-11-05T00:00:00Z,64658.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,7.0,2024-10-20T00:00:00Z,6,BASE,1.0,MAIN_PULSE_TP_HIGH,HIGH,2024-11-10T00:00:00Z,2024-11-09T00:00:00Z,71743.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,8.0,2024-10-21T00:00:00Z,1,BASE,0.236,FIRST_LIFT_HIGH,HIGH,2024-10-25T22:56:38Z,2024-10-25T00:00:00Z,63425.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,8.0,2024-10-21T00:00:00Z,2,BASE,0.382,FIRST_DIP_LOW,LOW,2024-10-29T00:31:40Z,2024-10-28T00:00:00Z,62631.0,0.528,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,8.0,2024-10-21T00:00:00Z,3,BASE,0.5,SECOND_PEAK_RETEST_HIGH,HIGH,2024-10-31T12:00:00Z,2024-10-31T00:00:00Z,66859.0,0.0,True,True,True,True,True,True,True,True,True,True
BTC,2024-10-13T00:00:00Z,1d,STRICT,UNIQUE_TOP_CANDIDATE,7.0,8.0,2024-10-21T00:00:00Z,4,BASE,0.618,SECOND_DIP_HIGHER_LOW,LOW,2024-11-02T23:28:19Z,2024-11-02T00:00:00Z,63800.0,0.0,True,True,True,True,True,True,True,True,True,True
