asset_id,symbol,venue,interval_code,cycle_from_ts_utc,latest_ts_utc,latest_price,cycle_low_ts_utc,cycle_low_price,swing_high_ts_utc,swing_high_price,ath_price,conservative_zone_low,conservative_zone_high,primary_zone_low,primary_zone_high,extension_zone_low,extension_zone_high,moonbag_zone_low,moonbag_zone_high,upside_to_primary_low_pct,confidence,classification,notes
1,BTC,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,69337.0000000000,2022-11-22 00:00:00,15111.0000000000,2025-10-07 00:00:00,107470.0000000000,107470.0000000000,164547.8620000000,199829.0000000000,256906.8620000000,349265.8620000000,406343.7240000000,476906.0000000000,648139.5860000000,745360.5239000000,270.52,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
2,ETH,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,2001.3000000000,2022-11-23 00:00:00,1046.0000000000,2025-08-25 00:00:00,4209.7000000000,4209.7000000000,6164.8666000000,7373.4000000000,9328.5666000000,12492.2666000000,14447.4332000000,16864.5000000000,22729.9998000000,26139.4997700000,366.13,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
3,SOL,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,75.8930000000,2022-12-30 00:00:00,7.5100000000,2025-01-20 00:00:00,287.7400000000,287.7400000000,460.9221400000,567.9700000000,741.1521400000,1021.3821400000,1194.5642800000,1408.6600000000,1928.2064200000,2217.4373830000,876.58,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
4,ADA,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.2272600000,2026-02-07 00:00:00,0.1886400000,2026-02-26 00:00:00,0.2654900000,1.2640000000,0.3129833000,0.3423400000,0.3898333000,0.4666833000,0.5141766000,0.5728900000,0.7153699000,0.8226753850,71.54,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
5,DEEP,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0263760000,2026-02-07 00:00:00,0.0184310000,2026-03-18 00:00:00,0.0323920000,0.3385300000,0.0410198980,0.0463530000,0.0549808980,0.0689418980,0.0775697960,0.0882360000,0.1141196940,0.1312376481,108.45,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
6,FIL,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.9477600000,2025-10-11 00:00:00,0.5464000000,2025-11-08 00:00:00,3.4201000000,10.9500000000,5.1960466000,6.2938000000,8.0697466000,10.9434466000,12.7193932000,14.9149000000,20.2427398000,23.2791507700,751.45,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
7,HBAR,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0777710000,2023-01-01 00:00:00,0.0332600000,2025-01-18 00:00:00,0.3838200000,0.3838200000,0.6004660800,0.7343800000,0.9510260800,1.3015860800,1.5182321600,1.7860600000,2.4359982400,2.8013979760,1122.85,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
8,HOT,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0003671900,2026-02-07 00:00:00,0.0002900000,2026-02-27 00:00:00,0.0004606500,0.0047228000,0.0005661117,0.0006313000,0.0007367617,0.0009074117,0.0010128734,0.0011432500,0.0014596351,0.0016785804,100.65,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
9,NEAR,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,1.2695000000,2026-02-07 00:00:00,0.7167000000,2026-05-07 00:00:00,1.3166000000,8.2795000000,1.6873382000,1.9165000000,2.2872382000,2.8871382000,3.2578764000,3.7162000000,4.8284146000,5.5526767900,80.17,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
10,PEPE,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0000035334,2023-09-22 00:00:00,5.590E-7,2024-12-10 00:00:00,0.0000268000,0.0000268000,0.0000430169,0.0000530410,0.0000692579,0.0000954989,0.0001117159,0.0001317640,0.0001804148,0.0002074770,1860.09,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
11,POL,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0846070000,2026-04-13 00:00:00,0.0696750000,2026-05-07 00:00:00,0.0849620000,0.7309900000,0.0944093660,0.1002490000,0.1096963660,0.1249833660,0.1344307320,0.1461100000,0.1744520980,0.2006199127,29.65,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
