label,event_count,eligible_count,clean_actionable_count,avg_return_1h,avg_return_4h,avg_return_24h,median_return_24h,positive_rate_24h,avg_return_72h,median_return_72h,positive_rate_72h,avg_max_adverse_excursion_24h,avg_max_favorable_excursion_24h
ALLOW_OR_UNBLOCKED,106,19,0,-0.952546,-0.952546,-0.446945,2.136772,60.674157,5.265436,6.066551,61.842105,-5.019241,4.533328
APLUS_AVOID_OR_DISTORTED,28,5,0,2.149515,2.149515,4.378122,5.516756,92.0,15.511076,16.998634,91.304348,-2.255438,8.646844
BLOCK_CHASE_RISK,7,5,0,-2.480123,-2.480123,-3.837339,-3.837339,50.0,-1.130623,-1.130623,0.0,-5.965659,1.923084
BLOCK_MARKET_DAMAGE,5,0,0,2.780988,2.780988,5.516756,5.516756,100.0,24.72994,24.72994,100.0,-1.479676,5.830779
BLOCK_POLICY_UNCLASSIFIED,5,0,0,7.127436,7.127436,2.286963,2.286963,100.0,17.906549,17.906549,100.0,-0.378495,8.324226
BLOCK_RECOMPUTE_PENDING,18,0,0,0.147108,0.147108,0.490743,0.911946,66.666667,8.048082,10.485075,100.0,-5.918208,8.235257
CURVE_DOWN_PRESSURE,87,0,0,-0.017393,-0.017393,-1.230595,0.911946,58.62069,5.60183,5.510997,64.383562,-4.701156,4.63344
CURVE_UP_CONFIRMED,47,20,0,-0.289335,-0.289335,4.123704,5.360637,88.888889,10.322577,10.485075,79.166667,-3.685481,7.666651
CURVE_WEAK,7,4,0,-4.740257,-4.740257,-1.650538,-6.759657,42.857143,16.998634,16.998634,100.0,-11.126442,2.865618
EXCLUDED_CRITICAL_CONTEXT,15,0,0,0.302238,0.302238,2.779159,3.901757,73.333333,5.754834,6.622105,86.666667,-1.485162,4.656703
EXCLUDED_DOWN_LEG_TARGET,72,0,0,-0.083983,-0.083983,-2.06596,0.529943,55.555556,5.56226,0.571429,58.62069,-5.371155,4.628593
EXCLUDED_NEGATIVE_TARGET_DISTANCE,16,0,0,1.09795,1.09795,4.291604,3.901757,75.0,7.293993,10.434915,87.5,-2.113054,8.119339
EXCLUDED_NO_CHASE,14,0,0,1.679167,1.679167,8.787368,8.977173,100.0,11.854705,10.485075,100.0,-2.727997,14.756647
EXCLUDED_OR_LOW_CONFIDENCE_DESTINATION,141,24,0,-0.351298,-0.351298,-0.060128,2.136772,64.46281,7.076713,7.205759,69.0,-4.846228,5.208001
EXCLUDED_RECOMPUTE_PENDING,18,0,0,0.147108,0.147108,0.490743,0.911946,66.666667,8.048082,10.485075,100.0,-5.918208,8.235257
EXCLUDED_SELECTION_NOT_ELIGIBLE,1,0,0,0.55789,0.55789,13.974792,13.974792,100.0,41.896825,41.896825,100.0,-0.72319,14.394931
EXCLUDED_SETUP_FAIL,68,0,0,0.053387,0.053387,0.158418,2.015399,65.151515,4.573168,3.421521,52.307692,-3.674881,4.327081
LOW_CONFIDENCE_DESTINATION,120,24,0,-0.859862,-0.859862,-0.527491,2.136772,57.0,8.521803,7.205759,78.481013,-5.466499,4.927935
MARKET_ONLY_DESTINATION,18,0,0,2.384609,2.384609,2.118171,2.105944,100.0,2.564872,-4.504771,38.888889,-1.993403,7.082167
MEDIUM_CONFIDENCE_DESTINATION,3,0,0,0.1854,0.1854,2.448822,2.448822,100.0,-3.90627,-3.90627,0.0,-1.287498,3.298571
MISSING_APLUS_CONTEXT,43,4,0,-1.11768,-1.11768,-2.235244,-2.410853,39.534884,4.672089,6.622105,61.538462,-5.945495,2.993608
STALE_APLUS_CONTEXT,72,20,0,-0.996748,-0.996748,0.303512,2.136772,67.307692,10.496036,7.238376,94.285714,-5.453754,6.440662
WEAK_MOMENTUM,3,0,0,0.1854,0.1854,2.448822,2.448822,100.0,-3.90627,-3.90627,0.0,-1.287498,3.298571
WEAK_RELATIVE_STRENGTH,3,0,0,0.1854,0.1854,2.448822,2.448822,100.0,-3.90627,-3.90627,0.0,-1.287498,3.298571
